source synth/list_parts.tcl
# puts [format "%-24s %-14s %-8s %s" PART PACKAGE SPEED DEVICE]
PART                     PACKAGE        SPEED    DEVICE
# foreach part [lsort [get_parts]] {
#     set pkg    [get_property PACKAGE     [get_parts $part]]
#     set speed  [get_property SPEED       [get_parts $part]]
#     set device [get_property DEVICE      [get_parts $part]]
#     puts [format "%-24s %-14s %-8s %s" $part $pkg $speed $device]
# }
xc7a200tfbv676-2L        fbv676         -2L      xc7a200t
xc7a200tfbv676-3         fbv676         -3       xc7a200t
xc7a200tffg1156-1        ffg1156        -1       xc7a200t
xc7a200tffg1156-2        ffg1156        -2       xc7a200t
xc7a200tffg1156-2L       ffg1156        -2L      xc7a200t
xc7a200tffg1156-3        ffg1156        -3       xc7a200t
xc7a200tffv1156-1        ffv1156        -1       xc7a200t
xc7a200tffv1156-2        ffv1156        -2       xc7a200t
xc7a200tffv1156-2L       ffv1156        -2L      xc7a200t
xc7a200tffv1156-3        ffv1156        -3       xc7a200t
xc7a200tifbg484-1L       fbg484         -1L      xc7a200ti
xc7a200tifbg676-1L       fbg676         -1L      xc7a200ti
xc7a200tifbv484-1L       fbv484         -1L      xc7a200ti
xc7a200tifbv676-1L       fbv676         -1L      xc7a200ti
xc7a200tiffg1156-1L      ffg1156        -1L      xc7a200ti
xc7a200tiffv1156-1L      ffv1156        -1L      xc7a200ti
xc7a200tisbg484-1L       sbg484         -1L      xc7a200ti
xc7a200tisbv484-1L       sbv484         -1L      xc7a200ti
xc7a200tlfbg484-2L       fbg484         -2L      xc7a200tl
xc7a200tlfbg676-2L       fbg676         -2L      xc7a200tl
xc7a200tlfbv484-2L       fbv484         -2L      xc7a200tl
xc7a200tlfbv676-2L       fbv676         -2L      xc7a200tl
xc7a200tlffg1156-2L      ffg1156        -2L      xc7a200tl
xc7a200tlffv1156-2L      ffv1156        -2L      xc7a200tl
xc7a200tlsbg484-2L       sbg484         -2L      xc7a200tl
xc7a200tlsbv484-2L       sbv484         -2L      xc7a200tl
xc7a200tsbg484-1         sbg484         -1       xc7a200t
xc7a200tsbg484-2         sbg484         -2       xc7a200t
xc7a200tsbg484-2L        sbg484         -2L      xc7a200t
xc7a200tsbg484-3         sbg484         -3       xc7a200t
xc7a200tsbv484-1         sbv484         -1       xc7a200t
xc7a200tsbv484-2         sbv484         -2       xc7a200t
xc7a200tsbv484-2L        sbv484         -2L      xc7a200t
xc7a200tsbv484-3         sbv484         -3       xc7a200t
xc7a25tcpg238-1          cpg238         -1       xc7a25t
xc7a25tcpg238-2          cpg238         -2       xc7a25t
xc7a25tcpg238-2L         cpg238         -2L      xc7a25t
xc7a25tcpg238-3          cpg238         -3       xc7a25t
xc7a25tcsg325-1          csg325         -1       xc7a25t
xc7a25tcsg325-2          csg325         -2       xc7a25t
xc7a25tcsg325-2L         csg325         -2L      xc7a25t
xc7a25tcsg325-3          csg325         -3       xc7a25t
xc7a25ticpg238-1L        cpg238         -1L      xc7a25ti
xc7a25ticsg325-1L        csg325         -1L      xc7a25ti
xc7a25tlcpg238-2L        cpg238         -2L      xc7a25tl
xc7a25tlcsg325-2L        csg325         -2L      xc7a25tl
xc7a35tcpg236-1          cpg236         -1       xc7a35t
xc7a35tcpg236-2          cpg236         -2       xc7a35t
xc7a35tcpg236-2L         cpg236         -2L      xc7a35t
xc7a35tcpg236-3          cpg236         -3       xc7a35t
xc7a35tcsg324-1          csg324         -1       xc7a35t
xc7a35tcsg324-2          csg324         -2       xc7a35t
xc7a35tcsg324-2L         csg324         -2L      xc7a35t
xc7a35tcsg324-3          csg324         -3       xc7a35t
xc7a35tcsg325-1          csg325         -1       xc7a35t
xc7a35tcsg325-2          csg325         -2       xc7a35t
xc7a35tcsg325-2L         csg325         -2L      xc7a35t
xc7a35tcsg325-3          csg325         -3       xc7a35t
xc7a35tfgg484-1          fgg484         -1       xc7a35t
xc7a35tfgg484-2          fgg484         -2       xc7a35t
xc7a35tfgg484-2L         fgg484         -2L      xc7a35t
xc7a35tfgg484-3          fgg484         -3       xc7a35t
xc7a35tftg256-1          ftg256         -1       xc7a35t
xc7a35tftg256-2          ftg256         -2       xc7a35t
xc7a35tftg256-2L         ftg256         -2L      xc7a35t
xc7a35tftg256-3          ftg256         -3       xc7a35t
xc7a35ticpg236-1L        cpg236         -1L      xc7a35ti
xc7a35ticsg324-1L        csg324         -1L      xc7a35ti
xc7a35ticsg325-1L        csg325         -1L      xc7a35ti
xc7a35tifgg484-1L        fgg484         -1L      xc7a35ti
xc7a35tiftg256-1L        ftg256         -1L      xc7a35ti
xc7a35tlcpg236-2L        cpg236         -2L      xc7a35tl
xc7a35tlcsg324-2L        csg324         -2L      xc7a35tl
xc7a35tlcsg325-2L        csg325         -2L      xc7a35tl
xc7a35tlfgg484-2L        fgg484         -2L      xc7a35tl
xc7a35tlftg256-2L        ftg256         -2L      xc7a35tl
xc7a50tcpg236-1          cpg236         -1       xc7a50t
xc7a50tcpg236-2          cpg236         -2       xc7a50t
xc7a50tcpg236-2L         cpg236         -2L      xc7a50t
xc7a50tcpg236-3          cpg236         -3       xc7a50t
xc7a50tcsg324-1          csg324         -1       xc7a50t
xc7a50tcsg324-2          csg324         -2       xc7a50t
xc7a50tcsg324-2L         csg324         -2L      xc7a50t
xc7a50tcsg324-3          csg324         -3       xc7a50t
xc7a50tcsg325-1          csg325         -1       xc7a50t
xc7a50tcsg325-2          csg325         -2       xc7a50t
xc7a50tcsg325-2L         csg325         -2L      xc7a50t
xc7a50tcsg325-3          csg325         -3       xc7a50t
xc7a50tfgg484-1          fgg484         -1       xc7a50t
xc7a50tfgg484-2          fgg484         -2       xc7a50t
xc7a50tfgg484-2L         fgg484         -2L      xc7a50t
xc7a50tfgg484-3          fgg484         -3       xc7a50t
xc7a50tftg256-1          ftg256         -1       xc7a50t
xc7a50tftg256-2          ftg256         -2       xc7a50t
xc7a50tftg256-2L         ftg256         -2L      xc7a50t
xc7a50tftg256-3          ftg256         -3       xc7a50t
xc7a50ticpg236-1L        cpg236         -1L      xc7a50ti
xc7a50ticsg324-1L        csg324         -1L      xc7a50ti
xc7a50ticsg325-1L        csg325         -1L      xc7a50ti
xc7a50tifgg484-1L        fgg484         -1L      xc7a50ti
xc7a50tiftg256-1L        ftg256         -1L      xc7a50ti
xc7a50tlcpg236-2L        cpg236         -2L      xc7a50tl
xc7a50tlcsg324-2L        csg324         -2L      xc7a50tl
xc7a50tlcsg325-2L        csg325         -2L      xc7a50tl
xc7a50tlfgg484-2L        fgg484         -2L      xc7a50tl
xc7a50tlftg256-2L        ftg256         -2L      xc7a50tl
xc7a75tcsg324-1          csg324         -1       xc7a75t
xc7a75tcsg324-2          csg324         -2       xc7a75t
xc7a75tcsg324-2L         csg324         -2L      xc7a75t
xc7a75tcsg324-3          csg324         -3       xc7a75t
xc7a75tfgg484-1          fgg484         -1       xc7a75t
xc7a75tfgg484-2          fgg484         -2       xc7a75t
xc7a75tfgg484-2L         fgg484         -2L      xc7a75t
xc7a75tfgg484-3          fgg484         -3       xc7a75t
xc7a75tfgg676-1          fgg676         -1       xc7a75t
xc7a75tfgg676-2          fgg676         -2       xc7a75t
xc7a75tfgg676-2L         fgg676         -2L      xc7a75t
xc7a75tfgg676-3          fgg676         -3       xc7a75t
xc7a75tftg256-1          ftg256         -1       xc7a75t
xc7a75tftg256-2          ftg256         -2       xc7a75t
xc7a75tftg256-2L         ftg256         -2L      xc7a75t
xc7a75tftg256-3          ftg256         -3       xc7a75t
xc7a75ticsg324-1L        csg324         -1L      xc7a75ti
xc7a75tifgg484-1L        fgg484         -1L      xc7a75ti
xc7a75tifgg676-1L        fgg676         -1L      xc7a75ti
xc7a75tiftg256-1L        ftg256         -1L      xc7a75ti
xc7a75tlcsg324-2L        csg324         -2L      xc7a75tl
xc7a75tlfgg484-2L        fgg484         -2L      xc7a75tl
xc7a75tlfgg676-2L        fgg676         -2L      xc7a75tl
xc7a75tlftg256-2L        ftg256         -2L      xc7a75tl
xc7k160tfbg484-1         fbg484         -1       xc7k160t
xc7k160tfbg484-2         fbg484         -2       xc7k160t
xc7k160tfbg484-2L        fbg484         -2L      xc7k160t
xc7k160tfbg484-3         fbg484         -3       xc7k160t
xc7k160tfbg676-1         fbg676         -1       xc7k160t
xc7k160tfbg676-2         fbg676         -2       xc7k160t
xc7k160tfbg676-2L        fbg676         -2L      xc7k160t
xc7k160tfbg676-3         fbg676         -3       xc7k160t
xc7k160tfbv484-1         fbv484         -1       xc7k160t
xc7k160tfbv484-2         fbv484         -2       xc7k160t
xc7k160tfbv484-2L        fbv484         -2L      xc7k160t
xc7k160tfbv484-3         fbv484         -3       xc7k160t
xc7k160tfbv676-1         fbv676         -1       xc7k160t
xc7k160tfbv676-2         fbv676         -2       xc7k160t
xc7k160tfbv676-2L        fbv676         -2L      xc7k160t
xc7k160tfbv676-3         fbv676         -3       xc7k160t
xc7k160tffg676-1         ffg676         -1       xc7k160t
xc7k160tffg676-2         ffg676         -2       xc7k160t
xc7k160tffg676-2L        ffg676         -2L      xc7k160t
xc7k160tffg676-3         ffg676         -3       xc7k160t
xc7k160tffv676-1         ffv676         -1       xc7k160t
xc7k160tffv676-2         ffv676         -2       xc7k160t
xc7k160tffv676-2L        ffv676         -2L      xc7k160t
xc7k160tffv676-3         ffv676         -3       xc7k160t
xc7k160tifbg484-2L       fbg484         -2L      xc7k160ti
xc7k160tifbg676-2L       fbg676         -2L      xc7k160ti
xc7k160tifbv484-2L       fbv484         -2L      xc7k160ti
xc7k160tifbv676-2L       fbv676         -2L      xc7k160ti
xc7k160tiffg676-2L       ffg676         -2L      xc7k160ti
xc7k160tiffv676-2L       ffv676         -2L      xc7k160ti
xc7k160tlfbg484-2L       fbg484         -2L      xc7k160tl
xc7k160tlfbg676-2L       fbg676         -2L      xc7k160tl
xc7k160tlfbv484-2L       fbv484         -2L      xc7k160tl
xc7k160tlfbv676-2L       fbv676         -2L      xc7k160tl
xc7k160tlffg676-2L       ffg676         -2L      xc7k160tl
xc7k160tlffv676-2L       ffv676         -2L      xc7k160tl
xc7k325tfbg676-1         fbg676         -1       xc7k325t
xc7k325tfbg676-2         fbg676         -2       xc7k325t
xc7k325tfbg676-2L        fbg676         -2L      xc7k325t
xc7k325tfbg676-3         fbg676         -3       xc7k325t
xc7k325tfbg900-1         fbg900         -1       xc7k325t
xc7k325tfbg900-2         fbg900         -2       xc7k325t
xc7k325tfbg900-2L        fbg900         -2L      xc7k325t
xc7k325tfbg900-3         fbg900         -3       xc7k325t
xc7k325tfbv676-1         fbv676         -1       xc7k325t
xc7k325tfbv676-2         fbv676         -2       xc7k325t
